Date,Keyword,Category,Department,Count
Oct-17,4차산업혁명,IT/과학,컴퓨터공학과,240
Nov-17,4차산업혁명,IT/과학,컴퓨터공학과,245
Dec-17,4차산업혁명,IT/과학,컴퓨터공학과,210
Jun-17,미세먼지,사회/환경,환경공학과,2334
Jul-17,미세먼지,사회/환경,환경공학과,1766
Aug-17,미세먼지,사회/환경,환경공학과,1217
Sep-17,미세먼지,사회/환경,환경공학과,2091
Oct-17,미세먼지,사회/환경,환경공학과,1312
Nov-17,미세먼지,사회/환경,환경공학과,1832
Dec-17,미세먼지,사회/환경,환경공학과,1903
Jan-17,비트코인,경제/IT,경제학과,164
Feb-17,비트코인,경제/IT,경제학과,149
Mar-17,비트코인,경제/IT,경제학과,176
Apr-17,비트코인,경제/IT,경제학과,123
May-17,비트코인,경제/IT,경제학과,485
Jun-17,비트코인,경제/IT,경제학과,598
Jul-17,비트코인,경제/IT,경제학과,427
Aug-17,비트코인,경제/IT,경제학과,478
Sep-17,비트코인,경제/IT,경제학과,669
Oct-17,비트코인,경제/IT,경제학과,489
Nov-17,비트코인,경제/IT,경제학과,843
Dec-17,비트코인,경제/IT,경제학과,2979
Feb-17,탈원전,사회/에너지,에너지공학과,1
Mar-17,탈원전,사회/에너지,에너지공학과,3
Apr-17,탈원전,사회/에너지,에너지공학과,1
May-17,탈원전,사회/에너지,에너지공학과,1
Jun-17,탈원전,사회/에너지,에너지공학과,16
Jul-17,탈원전,사회/에너지,에너지공학과,48
Aug-17,탈원전,사회/에너지,에너지공학과,50
Sep-17,탈원전,사회/에너지,에너지공학과,26
Oct-17,탈원전,사회/에너지,에너지공학과,43
Nov-17,탈원전,사회/에너지,에너지공학과,6
Dec-17,탈원전,사회/에너지,에너지공학과,11
Apr-17,포항지진,사회/재난,건축공학과,4
Nov-17,포항지진,사회/재난,건축공학과,1537
Dec-17,포항지진,사회/재난,건축공학과,421
