Date,Keyword,Category,Department,Count,tag
Oct-22,산업재해,사회/안전,사회복지학과,154,
Nov-22,산업재해,사회/안전,사회복지학과,26,
Dec-22,산업재해,사회/안전,사회복지학과,18,
Jan-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,122,전쟁
Feb-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,1066,전쟁
Mar-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,2798,전쟁
Apr-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,1601,전쟁
May-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,1028,전쟁
Jun-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,943,전쟁
Jul-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,684,전쟁
Aug-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,761,전쟁
Sep-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,846,전쟁
Oct-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,964,전쟁
Nov-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,666,전쟁
Dec-22,러시아-우크라이나 전쟁,국제/정치,정치외교학과,798,전쟁
Jan-22,메타버스,IT/과학,컴퓨터공학과,1703,메타버스
Feb-22,메타버스,IT/과학,컴퓨터공학과,1192,메타버스
Mar-22,메타버스,IT/과학,컴퓨터공학과,1564,메타버스
Apr-22,메타버스,IT/과학,컴퓨터공학과,1245,메타버스
May-22,메타버스,IT/과학,컴퓨터공학과,1282,메타버스
Jun-22,메타버스,IT/과학,컴퓨터공학과,1105,메타버스
Jul-22,메타버스,IT/과학,컴퓨터공학과,1041,메타버스
Aug-22,메타버스,IT/과학,컴퓨터공학과,827,메타버스
Sep-22,메타버스,IT/과학,컴퓨터공학과,1126,메타버스
Oct-22,메타버스,IT/과학,컴퓨터공학과,976,메타버스
Nov-22,메타버스,IT/과학,컴퓨터공학과,1172,메타버스
Dec-22,메타버스,IT/과학,컴퓨터공학과,848,메타버스
Jan-22,해킹,사회/안전,사이버보안학과,395,보안
Feb-22,해킹,사회/안전,사이버보안학과,327,보안
Mar-22,해킹,사회/안전,사이버보안학과,455,보안
Apr-22,해킹,사회/안전,사이버보안학과,567,보안
May-22,해킹,사회/안전,사이버보안학과,336,보안
Jun-22,해킹,사회/안전,사이버보안학과,342,보안
Jul-22,해킹,사회/안전,사이버보안학과,482,보안
Aug-22,해킹,사회/안전,사이버보안학과,486,보안
Sep-22,해킹,사회/안전,사이버보안학과,354,보안
Oct-22,해킹,사회/안전,사이버보안학과,459,보안
Nov-22,해킹,사회/안전,사이버보안학과,507,보안
Dec-22,해킹,사회/안전,사이버보안학과,544,보안
