Date,Keyword,Category,Department,Count
Jan-25,APEC,국제/외교,정치외교학과,71
Feb-25,APEC,국제/외교,정치외교학과,43
Mar-25,APEC,국제/외교,정치외교학과,67
Apr-25,APEC,국제/외교,정치외교학과,68
May-25,APEC,국제/외교,정치외교학과,79
Jun-25,APEC,국제/외교,정치외교학과,81
Jul-25,APEC,국제/외교,정치외교학과,185
Aug-25,APEC,국제/외교,정치외교학과,235
Sep-25,APEC,국제/외교,정치외교학과,455
Oct-25,APEC,국제/외교,정치외교학과,1596
Nov-25,APEC,국제/외교,정치외교학과,750
Dec-25,APEC,국제/외교,정치외교학과,112
Jan-25,개인정보유출,사회/보안,사이버보안학과,268
Feb-25,개인정보유출,사회/보안,사이버보안학과,841
Mar-25,개인정보유출,사회/보안,사이버보안학과,326
Apr-25,개인정보유출,사회/보안,사이버보안학과,821
May-25,개인정보유출,사회/보안,사이버보안학과,1110
Jun-25,개인정보유출,사회/보안,사이버보안학과,735
Jul-25,개인정보유출,사회/보안,사이버보안학과,450
Aug-25,개인정보유출,사회/보안,사이버보안학과,513
Sep-25,개인정보유출,사회/보안,사이버보안학과,1782
Oct-25,개인정보유출,사회/보안,사이버보안학과,844
Nov-25,개인정보유출,사회/보안,사이버보안학과,1010
Dec-25,개인정보유출,사회/보안,사이버보안학과,2539
Jan-25,국제협력,국제협력/정책,정책학과,871
Feb-25,국제협력,국제협력/정책,정책학과,906
Mar-25,국제협력,국제협력/정책,정책학과,781
Apr-25,국제협력,국제협력/정책,정책학과,995
May-25,국제협력,국제협력/정책,정책학과,801
Jun-25,국제협력,국제협력/정책,정책학과,1687
Jul-25,국제협력,국제협력/정책,정책학과,975
Aug-25,국제협력,국제협력/정책,정책학과,1537
Sep-25,국제협력,국제협력/정책,정책학과,1608
Oct-25,국제협력,국제협력/정책,정책학과,1370
Nov-25,국제협력,국제협력/정책,정책학과,1412
Dec-25,국제협력,국제협력/정책,정책학과,518
Jan-25,드론,국방/기술,무인항공학과,423
Feb-25,드론,국방/기술,무인항공학과,988
Mar-25,드론,국방/기술,무인항공학과,1638
Apr-25,드론,국방/기술,무인항공학과,1866
May-25,드론,국방/기술,무인항공학과,1508
Jun-25,드론,국방/기술,무인항공학과,1736
Jul-25,드론,국방/기술,무인항공학과,1990
Aug-25,드론,국방/기술,무인항공학과,1917
Sep-25,드론,국방/기술,무인항공학과,2266
Oct-25,드론,국방/기술,무인항공학과,2162
Nov-25,드론,국방/기술,무인항공학과,2034
Dec-25,드론,국방/기술,무인항공학과,1036
Jan-25,디지털규제,사회/법정책,법학과,1101
Feb-25,디지털규제,사회/법정책,법학과,1258
Mar-25,디지털규제,사회/법정책,법학과,1482
Apr-25,디지털규제,사회/법정책,법학과,1458
May-25,디지털규제,사회/법정책,법학과,1608
Jun-25,디지털규제,사회/법정책,법학과,1867
Jul-25,디지털규제,사회/법정책,법학과,2445
Aug-25,디지털규제,사회/법정책,법학과,1632
Sep-25,디지털규제,사회/법정책,법학과,2094
Oct-25,디지털규제,사회/법정책,법학과,1556
Nov-25,디지털규제,사회/법정책,법학과,2011
Dec-25,디지털규제,사회/법정책,법학과,1437
Jan-25,반도체,IT/산업,반도체공학과,994
Feb-25,반도체,IT/산업,반도체공학과,1300
Mar-25,반도체,IT/산업,반도체공학과,1448
Apr-25,반도체,IT/산업,반도체공학과,1660
May-25,반도체,IT/산업,반도체공학과,1281
Jun-25,반도체,IT/산업,반도체공학과,1373
Jul-25,반도체,IT/산업,반도체공학과,1251
Aug-25,반도체,IT/산업,반도체공학과,1348
Sep-25,반도체,IT/산업,반도체공학과,1714
Oct-25,반도체,IT/산업,반도체공학과,1444
Nov-25,반도체,IT/산업,반도체공학과,1880
Dec-25,반도체,IT/산업,반도체공학과,884
Jan-25,양자컴퓨팅,IT/과학,물리학과,280
Feb-25,양자컴퓨팅,IT/과학,물리학과,387
Mar-25,양자컴퓨팅,IT/과학,물리학과,340
Apr-25,양자컴퓨팅,IT/과학,물리학과,164
May-25,양자컴퓨팅,IT/과학,물리학과,231
Jun-25,양자컴퓨팅,IT/과학,물리학과,255
Jul-25,양자컴퓨팅,IT/과학,물리학과,270
Aug-25,양자컴퓨팅,IT/과학,물리학과,184
Sep-25,양자컴퓨팅,IT/과학,물리학과,167
Oct-25,양자컴퓨팅,IT/과학,물리학과,279
Nov-25,양자컴퓨팅,IT/과학,물리학과,302
Dec-25,양자컴퓨팅,IT/과학,물리학과,130
Jan-25,헬스테크,의료/기술,스포츠과학과,269
Feb-25,헬스테크,의료/기술,스포츠과학과,77
Mar-25,헬스테크,의료/기술,스포츠과학과,86
Apr-25,헬스테크,의료/기술,스포츠과학과,94
May-25,헬스테크,의료/기술,스포츠과학과,122
Jun-25,헬스테크,의료/기술,스포츠과학과,177
Jul-25,헬스테크,의료/기술,스포츠과학과,195
Aug-25,헬스테크,의료/기술,스포츠과학과,113
Sep-25,헬스테크,의료/기술,스포츠과학과,192
Oct-25,헬스테크,의료/기술,스포츠과학과,152
Nov-25,헬스테크,의료/기술,스포츠과학과,269
Dec-25,헬스테크,의료/기술,스포츠과학과,79
Jan-25,코로나엔데믹,의료/보건,간호학과,654
Feb-25,코로나엔데믹,의료/보건,간호학과,295
Mar-25,코로나엔데믹,의료/보건,간호학과,312
Apr-25,코로나엔데믹,의료/보건,간호학과,416
May-25,코로나엔데믹,의료/보건,간호학과,440
Jun-25,코로나엔데믹,의료/보건,간호학과,481
Jul-25,코로나엔데믹,의료/보건,간호학과,500
Aug-25,코로나엔데믹,의료/보건,간호학과,361
Sep-25,코로나엔데믹,의료/보건,간호학과,523
Oct-25,코로나엔데믹,의료/보건,간호학과,382
Nov-25,코로나엔데믹,의료/보건,간호학과,316
Dec-25,코로나엔데믹,의료/보건,간호학과,223
Jan-25,순환경제,환경/에너지,화공신소재학과,149
Feb-25,순환경제,환경/에너지,화공신소재학과,148
Mar-25,순환경제,환경/에너지,화공신소재학과,207
Apr-25,순환경제,환경/에너지,화공신소재학과,142
May-25,순환경제,환경/에너지,화공신소재학과,142
Jun-25,순환경제,환경/에너지,화공신소재학과,308
Jul-25,순환경제,환경/에너지,화공신소재학과,224
Aug-25,순환경제,환경/에너지,화공신소재학과,165
Sep-25,순환경제,환경/에너지,화공신소재학과,281
Oct-25,순환경제,환경/에너지,화공신소재학과,261
Nov-25,순환경제,환경/에너지,화공신소재학과,247
Dec-25,순환경제,환경/에너지,화공신소재학과,102
Jan-25,탄소중립,환경/사회,환경공학과,228
Feb-25,탄소중립,환경/사회,환경공학과,259
Mar-25,탄소중립,환경/사회,환경공학과,302
Apr-25,탄소중립,환경/사회,환경공학과,247
May-25,탄소중립,환경/사회,환경공학과,255
Jun-25,탄소중립,환경/사회,환경공학과,370
Jul-25,탄소중립,환경/사회,환경공학과,349
Aug-25,탄소중립,환경/사회,환경공학과,324
Sep-25,탄소중립,환경/사회,환경공학과,434
