Date,Keyword,Category,Department,Count
2025-01,딥페이크,IT/보안,정보보호학과,248
2025-02,딥페이크,IT/보안,정보보호학과,207
2025-03,딥페이크,IT/보안,정보보호학과,157
2025-04,딥페이크,IT/보안,정보보호학과,303
2025-05,딥페이크,IT/보안,정보보호학과,300
2025-06,딥페이크,IT/보안,정보보호학과,156
2025-07,딥페이크,IT/보안,정보보호학과,81
2025-08,딥페이크,IT/보안,정보보호학과,90
2025-09,딥페이크,IT/보안,정보보호학과,169
2025-10,딥페이크,IT/보안,정보보호학과,209
2025-11,딥페이크,IT/보안,정보보호학과,171
2025-12,딥페이크,IT/보안,정보보호학과,76
2025-01,딥보이스,IT/보안,정보보호학과,6
2025-02,딥보이스,IT/보안,정보보호학과,9
2025-03,딥보이스,IT/보안,정보보호학과,1
2025-04,딥보이스,IT/보안,정보보호학과,20
2025-05,딥보이스,IT/보안,정보보호학과,9
2025-06,딥보이스,IT/보안,정보보호학과,30
2025-07,딥보이스,IT/보안,정보보호학과,10
2025-08,딥보이스,IT/보안,정보보호학과,17
2025-09,딥보이스,IT/보안,정보보호학과,5
2025-10,딥보이스,IT/보안,정보보호학과,8
2025-11,딥보이스,IT/보안,정보보호학과,2
