student_id,dept_name,activity_year,grade,matched_keyword,news_origin_year,time_lag,section,context
202410723,컴퓨터과학과,2021,1,메타버스,2021,0,진로활동,"관심 분야 조사 발표에서 인공지능 코딩과 연계하여 메타버스에 관해 조사하고 온라인 게임을 예시로 설명함."
202410723,컴퓨터과학과,2022,2,탄소중립,2020,2,학교자율과정,"탄소중립 실천 프로젝트에서 우리나라의 에너지 생산 방식 현황과 원자력 발전에 대한 오해를 주제로 탐구함."
202410723,컴퓨터과학과,2022,2,AIoT,2014,8,자율활동,"정보기술과 관련된 지능형 사물인터넷(AIoT)을 발표하며 AI와 IoT의 데이터 분석 능력을 비교함."
202410723,컴퓨터과학과,2023,3,생성형 AI,2022,1,진로활동,"학급자율성장 프로젝트에서 생성형 AI가 인간의 협력자가 될 수 있는지 의문을 갖고 '인간과 생성형 AI의 협력'을 주제로 발표함."
202410346,교육학과,2021,1,4차 산업혁명,2016,5,진로활동,"직업 보고서 발표 시간에 4차 산업혁명 시대를 맞아 변화하는 일상생활의 긍정적/부정적 영향을 조사함."
202410346,교육학과,2022,2,기후변화,2015,7,진로활동,"융합과학탐구활동에서 기후변화 대응 상상제안 강연을 듣고 질소 비료 과다 사용의 문제점을 인식함."
202410346,교육학과,2023,3,생성형 인공지능,2022,1,동아리활동,"방송동아리에서 생성형 인공지능 시대의 변화를 파악하고 AI 기반 콘텐츠 기술의 변화를 주제 탐구함."
202410822,컴퓨터과학과,2016,1,알파고,2016,0,진로활동,"직업탐방활동 후 컴퓨터공학 분야에 흥미를 느끼고 알파고와 같은 인공지능 기술에 관심을 가짐."
202410822,컴퓨터과학과,2018,3,4차 산업혁명,2016,2,진로활동,"4차 산업혁명과 소프트웨어 특강에 참여하여 미래 직업 변화와 진로에 대해 탐색함."
202410821,컴퓨터과학전공,2020,1,자율주행,2016,4,동아리활동,"영자신문부에서 자율주행 기술의 6단계와 우리나라의 개발 현황에 대한 과학 기사를 작성함."
202410821,컴퓨터과학전공,2021,2,탄소중립,2020,1,동아리활동,"한국이 탄소중립을 시작하기로 결정했다는 기사를 작성하며 녹색 회사 투자와 무공해 자동차 계획을 소개함."
202410821,컴퓨터과학전공,2021,2,메타버스,2021,0,자율활동,"수학 자율활동에서 메타버스, ESG 경영 등을 주제로 한 프레젠테이션을 듣고 토의함."
202410215,컴퓨터과학과,2020,1,4차 산업혁명,2016,4,자율활동,"'4차 산업혁명이란 무엇인가' 특강을 듣고 긍정적, 부정적 영향을 이해하며 보고서를 작성함."
202410215,컴퓨터과학과,2020,1,코로나,2019,1,동아리활동,"축제에서 코로나 바이러스 침투 과정을 표현한 영상을 제작하고 과학수사 연구원 역을 맡음."
202410215,컴퓨터과학과,2021,2,메타버스,2021,0,진로활동,"직업 탐색 활동에서 가상현실 전문가를 탐색하고 메타버스, 게임 프로그램에 대해 조사함."
202410215,컴퓨터과학과,2023,3,아스파탐,2023,0,학교자율과정,"팩트체크 프로젝트에서 아스파탐의 발암물질 분류 논란에 대해 탐구하고 미디어 리터러시의 중요성을 강조함."
202310102,컴퓨터과학과,2021,2,메타버스,2021,0,진로활동,"전문직업인 특강에서 '메타버스 개발자' 강의를 듣고 직업에 필요한 능력과 업무 정보를 학습함."
202310102,컴퓨터과학과,2022,3,우크라이나,2022,0,동아리활동,"세계문제탐구부에서 러시아-우크라이나 전쟁과 동아시아 정세를 림랜드 개념으로 분석하는 보고서를 작성함."
202311093,컴퓨터과학과,2020,1,코로나,2019,1,봉사활동,"코로나19 예방을 위한 학급 내 보건위생 관리 도우미로 활동함."
202311093,컴퓨터과학과,2021,2,무선 충전,2015,6,세부능력 및 특기사항,"물리학 I : 스마트폰 무선 충전기에 호기심을 갖고 전자기 유도와 상호유도 현상을 조사하여 발표함."
202315060,휴먼AI공학전공,2018,1,4차 산업혁명,2016,2,진로활동,"'4차 산업혁명과 소프트웨어' 특강에 참여하여 현실에 실현된 기술들을 깨닫고 진로를 계획함."
202315060,휴먼AI공학전공,2019,2,5G,2019,0,동아리활동,"물리학 동아리에서 '5G WiFi는 왜 지원 거리가 짧은가'를 주제로 회절과 주파수 특성을 연구함."
202315060,휴먼AI공학전공,2020,3,코로나,2019,1,봉사활동,"코로나로 형편이 어려운 나눔가게 상인들을 위해 반려식물 키트를 제작하고 응원 편지를 전달함."
202315049,글로벌경영학과,2020,1,4차 산업혁명,2016,4,자율활동,"'4차 산업혁명이란 무엇인가' 특강을 듣고 우리 시대에 갖추어야 할 필수 역량에 대해 보고서를 작성함."
202315049,글로벌경영학과,2020,1,코로나,2019,1,자율활동,"감염병(코로나-19) 예방 교육을 받고 세계적인 유행병 확산 과정과 인류의 미래에 대해 고민함."
202310767,컴퓨터과학전공,2020,1,코로나,2019,1,자율활동,"국제이해교육에서 한국, 미국, 중국의 코로나 대응방식을 조사하고 비교함."
202310767,컴퓨터과학전공,2022,3,빅데이터,2012,10,진로활동,"교통 문제 해결 관련 AI 빅데이터 활용 사례와 개인정보 침해 문제를 조사하여 발표함."
202310941,컴퓨터과학과,2020,1,아두이노,2014,6,동아리활동,"컨버전스 동아리에서 아두이노를 이용하여 블루투스 무선 조종 자동차를 제작함."
202310941,컴퓨터과학과,2022,3,기후변화,2015,7,자율활동,"키리바시의 기후변화가 대한민국과 연관이 있음을 파악하고 해결 방안에 대한 보고서를 작성함."
202211552,컴퓨터과학전공,2020,2,AI,2016,4,동아리활동,"영화평점 예측 인공지능, 재활용 쓰레기 분류 AI 등을 제작하며 라이브러리 사용법을 익힘."
202211552,컴퓨터과학전공,2021,3,코로나,2019,2,자율활동,"코로나19 예방 계기 교육에 참여하여 마스크 착용의 효용성을 인식함."
202215073,컴퓨터과학과,2014,2,글로벌,2010,4,봉사활동,"월드비전 번역봉사를 통해 후원자와 아동 간 영문 편지를 번역하며 글로벌 나눔을 실천함."
202215036,경영학부,2012,1,다문화,2010,2,자율활동,"교내 백일장 대회에서 통일과 다문화 가정의 현실에 대해 생각하고 갈등 해소 방안을 제시함."
202215075,컴퓨터과학과,2010,1,주식,2008,2,체험학습,"한국거래소에서 주식 시장의 현황과 주식 가격 형성 원리를 배우고 자본주의 경제를 이해함."
202315168,컴퓨터과학과,2020,1,미세 플라스틱,2017,3,세부능력 및 특기사항,"통합과학 : 기후변화가 생물 다양성 감소 원인임을 배우고 미세 플라스틱이 생물농축되는 과정을 보고서로 작성함."
202315168,컴퓨터과학과,2021,2,탄소중립,2020,1,동아리활동,"과학시사탐구반에서 탄소중립 실현을 위한 노력을 조사하고 책임감 있는 자세로 분리수거를 담당함."
