Date,Keyword,Category,Department,Count
2025-01,AI 반도체,IT/반도체,전자공학과,1
2025-01,RWA,경제/금융,경영학과,129
2025-01,STO 시장,경제/금융,경영학과,1
2025-01,XR 기기,IT/과학,컴퓨터공학과,4
2025-01,공간 컴퓨팅,IT/과학,컴퓨터공학과,1
2025-01,뉴스페이스,과학/우주,항공우주공학과,37
2025-01,디지털 트윈,IT/산업,산업공학과,32
2025-01,방산,국제/안보,국가안보학과,183
2025-01,블록체인,IT/과학,컴퓨터공학과,202
2025-01,생성형 AI,IT/AI,컴퓨터공학과,2
2025-01,순환경제,환경/에너지,화공신소재학과,149
2025-01,스마트 팩토리,IT/산업,산업공학과,3
2025-01,스페이스X,과학/우주,항공우주공학과,396
2025-01,신냉전,국제/문화,국제통상학과,17
2025-01,아르테미스,과학/우주,항공우주공학과,60
2025-01,엔비디아,IT/반도체,전자공학과,290
2025-01,우주항공청,과학/우주,항공우주공학과,89
2025-01,탈플라스틱,환경/에너지,화공신소재학과,13
2025-01,토큰 증권,경제/금융,경영학과,1
2025-01,플라스틱 협약,환경/에너지,화공신소재학과,1
2025-02,AI 반도체,IT/반도체,전자공학과,9
2025-02,RWA,경제/금융,경영학과,209
2025-02,STO 시장,경제/금융,경영학과,1
2025-02,XR 기기,IT/과학,컴퓨터공학과,4
2025-02,공간 컴퓨팅,IT/과학,컴퓨터공학과,2
2025-02,뉴스페이스,과학/우주,항공우주공학과,58
2025-02,디지털 트윈,IT/산업,산업공학과,19
2025-02,방산,국제/안보,국가안보학과,363
2025-02,블록체인,IT/과학,컴퓨터공학과,216
2025-02,생성형 AI,IT/AI,컴퓨터공학과,10
2025-02,순환경제,환경/에너지,화공신소재학과,148
2025-02,스마트 팩토리,IT/산업,산업공학과,19
2025-02,스페이스X,과학/우주,항공우주공학과,304
2025-02,신냉전,국제/문화,국제통상학과,14
2025-02,아르테미스,과학/우주,항공우주공학과,62
2025-02,엔비디아,IT/반도체,전자공학과,269
2025-02,우주항공청,과학/우주,항공우주공학과,150
2025-02,탈플라스틱,환경/에너지,화공신소재학과,8
2025-02,토큰 증권,경제/금융,경영학과,1
